timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:56:37.7193117 +0300 EAT m=+498.323894401,-0.44097036,-0.55693203,-0.6123731,-104.28322,-26.700731,-3.4923432
2022-12-19 14:56:37.8177767 +0300 EAT m=+498.422359401,-0.34106442,-0.43545544,-0.4555109,-82.56923,-14.865289,-2.563942
2022-12-19 14:56:37.9215515 +0300 EAT m=+498.526134201,-0.19362098,-0.30683845,-0.20028117,-53.027073,10.166411,-0.8820387
2022-12-19 14:56:38.0216031 +0300 EAT m=+498.626185801,-0.32711628,-0.38815075,-0.45085335,-77.71829,-18.711327,-2.641652
2022-12-19 14:56:38.1217319 +0300 EAT m=+498.726314601,-0.082811,-0.21010159,-0.01354373,-30.289019,27.357092,0.34722963
2022-12-19 14:56:38.2230199 +0300 EAT m=+498.827602601,-0.3070524,-0.42735636,-0.38983595,-76.4719,-6.9253044,-2.065694
2022-12-19 14:56:38.3216788 +0300 EAT m=+498.926261501,-0.2565925,-0.37599826,-0.28996724,-67.682816,5.6414733,-1.4267614
2022-12-19 14:56:38.425955 +0300 EAT m=+499.030537701,-0.20029868,-0.3542597,-0.2068489,-54.89174,10.616293,-0.8007712
2022-12-19 14:56:38.5255809 +0300 EAT m=+499.130163601,-0.22405921,-0.36351776,-0.22933176,-61.620106,12.539968,-0.9790796
2022-12-19 14:56:38.6248766 +0300 EAT m=+499.229459301,-0.1272436,-0.28979,-0.058538686,-42.559727,29.99627,0.17892197
2022-12-19 14:56:38.7410244 +0300 EAT m=+499.345607101,-0.061843373,-0.19807324,0.0107833315,-24.824982,27.093304,0.5236288
2022-12-19 14:56:38.8297059 +0300 EAT m=+499.434288601,-0.25643182,-0.39156342,-0.2870208,-67.93216,6.5168777,-1.3601562
2022-12-19 14:56:38.9279115 +0300 EAT m=+499.532494201,-0.27689946,-0.48181587,-0.3145907,-72.86252,5.533983,-1.3252336
2022-12-19 14:56:39.0463157 +0300 EAT m=+499.650898401,-0.36894828,-0.511407,-0.4585268,-92.93102,-5.161784,-2.4210632
2022-12-19 14:56:39.1287561 +0300 EAT m=+499.733338801,-0.34974205,-0.50729126,-0.43968815,-87.56251,-6.5051646,-2.2624104
2022-12-19 14:56:39.2357477 +0300 EAT m=+499.840330401,-0.21643065,-0.33884057,-0.24278371,-57.2788,5.327151,-1.1268108
