timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 16:07:22.0285698 +0300 EAT m=+2545.906203501,-0.6559417,-0.4002387,-1.4987925,-211.92754,-108.43153,-11.269947
2022-12-19 16:07:22.1343691 +0300 EAT m=+2546.012002801,0.03349863,0.33577126,-0.402015,-64.2569,-21.551352,-4.4668384
2022-12-19 16:07:22.2288712 +0300 EAT m=+2546.106504901,-0.6957976,-0.411708,-1.4126514,-198.89476,-103.06316,-10.485221
2022-12-19 16:07:22.3320822 +0300 EAT m=+2546.209715901,-0.5882325,-0.37287378,-1.4710397,-211.62184,-102.796715,-11.1657505
2022-12-19 16:07:22.4328676 +0300 EAT m=+2546.310501301,-0.7527493,-0.50339854,-1.632152,-230.2613,-118.62082,-12.054311
2022-12-19 16:07:22.5342664 +0300 EAT m=+2546.411900101,-0.42848617,-0.13641483,-1.0662117,-152.42679,-75.431404,-8.48306
2022-12-19 16:07:22.6369231 +0300 EAT m=+2546.514556801,-0.3383114,-0.023702962,-0.8229693,-118.85206,-57.002335,-6.7953324
2022-12-19 16:07:22.7356044 +0300 EAT m=+2546.613238101,-0.65370256,-0.45308203,-1.5822006,-227.63911,-110.5524,-11.84737
2022-12-19 16:07:22.8435845 +0300 EAT m=+2546.721218201,-0.24110292,-0.014540264,-0.9513333,-142.85027,-60.423134,-7.986306
2022-12-19 16:07:22.9367833 +0300 EAT m=+2546.814417001,-0.21295452,0.061695397,-0.8425906,-123.51409,-56.507103,-7.274646
2022-12-19 16:07:23.0391947 +0300 EAT m=+2546.916828401,-0.25296426,0.003902925,-0.8874767,-131.43169,-58.194733,-7.4792414
2022-12-19 16:07:23.1469009 +0300 EAT m=+2547.024534601,0.45041472,0.7473291,0.19082913,14.179873,26.799625,-0.8561358
2022-12-19 16:07:23.2386693 +0300 EAT m=+2547.116303001,0.5000881,0.776462,0.23138717,18.243855,31.411066,-0.62872964
2022-12-19 16:07:23.350138 +0300 EAT m=+2547.227771701,0.0109853335,0.2584273,-0.585222,-91.603645,-33.368965,-5.7912993
2022-12-19 16:07:23.4406239 +0300 EAT m=+2547.318257601,-0.2705679,-0.03144827,-1.0251358,-151.6895,-67.35895,-8.539785
