timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:55:35.943817 +0300 EAT m=+436.548399701,-0.20910497,-0.35411867,-0.19975261,-59.013496,16.25709,-0.77256334
2022-12-19 14:55:36.0451673 +0300 EAT m=+436.649750001,-0.13606259,-0.30833927,-0.08196304,-43.465874,25.891144,0.055088457
2022-12-19 14:55:36.1497976 +0300 EAT m=+436.754380301,-0.120691836,-0.3194392,-0.04454586,-41.526783,31.946436,0.37668642
2022-12-19 14:55:36.244901 +0300 EAT m=+436.849483701,-0.16062139,-0.36923492,-0.10975042,-49.94027,26.413937,-0.007745921
2022-12-19 14:55:36.3543353 +0300 EAT m=+436.958918001,-0.13901645,-0.36928114,-0.055256415,-47.415287,35.536076,0.41102555
2022-12-19 14:55:36.4523917 +0300 EAT m=+437.056974401,-0.07836666,-0.33307683,0.040610373,-34.301,42.91619,1.0904456
2022-12-19 14:55:36.5568617 +0300 EAT m=+437.161444401,-0.22056489,-0.43418664,-0.20180435,-63.18636,19.973524,-0.5743152
2022-12-19 14:55:36.6560594 +0300 EAT m=+437.260642101,-0.3152295,-0.5377288,-0.35482836,-83.29782,7.359648,-1.5181925
2022-12-19 14:55:36.7501312 +0300 EAT m=+437.354713901,-0.38620517,-0.63493997,-0.46440202,-98.92079,-0.4556706,-2.1326742
2022-12-19 14:55:36.8520357 +0300 EAT m=+437.456618401,-0.4387208,-0.6854584,-0.5419689,-110.85052,-5.1128078,-2.627052
2022-12-19 14:55:36.9582412 +0300 EAT m=+437.562823901,-0.14915347,-0.3593918,-0.1067889,-45.86034,22.9674,0.008714138
2022-12-19 14:55:37.0576786 +0300 EAT m=+437.662261301,-0.15087086,-0.37152869,-0.09606014,-47.65021,27.048502,0.11386715
2022-12-19 14:55:37.1652262 +0300 EAT m=+437.769808901,-0.24982052,-0.47653294,-0.2500581,-69.300156,15.765348,-0.8418377
2022-12-19 14:55:37.2557893 +0300 EAT m=+437.860372001,-0.15263095,-0.38945243,-0.08584774,-49.40195,30.979633,0.23259616
2022-12-19 14:55:37.3603625 +0300 EAT m=+437.964945201,-0.120601855,-0.387614,-0.01524816,-44.58376,41.25052,0.7784968
2022-12-19 14:55:37.4600865 +0300 EAT m=+438.064669201,-0.2790249,-0.54362965,-0.27445808,-77.91132,19.148548,-0.87358016
2022-12-19 14:55:37.5604067 +0300 EAT m=+438.164989401,-0.23000348,-0.422426,-0.212308,-65.693184,20.239363,-0.7016761
2022-12-19 14:55:37.6724785 +0300 EAT m=+438.277061201,-0.07055878,-0.3157895,0.052561194,-32.57147,43.74465,1.1377659
2022-12-19 14:55:37.7655585 +0300 EAT m=+438.370141201,-0.14830053,-0.40222567,-0.052955728,-51.214027,39.820328,0.5037986
2022-12-19 14:55:37.860992 +0300 EAT m=+438.465574701,-0.13903858,-0.42661884,-0.036453053,-49.40786,41.53468,0.70905983
2022-12-19 14:55:37.9636696 +0300 EAT m=+438.568252301,-0.15901847,-0.3658284,-0.112138756,-49.074303,25.037851,-0.030527048
2022-12-19 14:55:38.0614053 +0300 EAT m=+438.665988001,-0.21418372,-0.44734463,-0.20378114,-60.53367,16.893621,-0.5344707
2022-12-19 14:55:38.1748714 +0300 EAT m=+438.779454101,-0.18587214,-0.40282932,-0.16420317,-53.86601,18.69369,-0.33447725
2022-12-19 14:55:38.2655992 +0300 EAT m=+438.870181901,-0.17415772,-0.43655112,-0.094915494,-56.690285,36.32167,0.2628251
2022-12-19 14:55:38.3693178 +0300 EAT m=+438.973900501,-0.37409374,-0.60803133,-0.4411316,-96.73735,2.3406909,-2.0273716
2022-12-19 14:55:38.4789209 +0300 EAT m=+439.083503601,-0.3135288,-0.5040908,-0.34988487,-83.168045,8.294918,-1.5806677
2022-12-19 14:55:38.5727398 +0300 EAT m=+439.177322501,-0.17348412,-0.35312805,-0.14453028,-51.197018,20.240946,-0.32069135
2022-12-19 14:55:38.6718492 +0300 EAT m=+439.276431901,-0.16791394,-0.38683367,-0.1150519,-52.17405,27.511244,-0.0077853166
2022-12-19 14:55:38.7686622 +0300 EAT m=+439.373244901,-0.107512735,-0.3662216,-0.016440125,-39.444614,35.859276,0.73603886
2022-12-19 14:55:38.8750127 +0300 EAT m=+439.479595401,-0.052778736,-0.2628091,0.05388478,-25.901047,37.36695,1.0290741
2022-12-19 14:55:38.975513 +0300 EAT m=+439.580095701,-0.1615764,-0.35609606,-0.12292895,-48.915478,22.574905,-0.13848366
2022-12-19 14:55:39.074304 +0300 EAT m=+439.678886701,-0.22156999,-0.40632486,-0.23524651,-60.042572,9.6866045,-0.88664865
2022-12-19 14:55:39.1735286 +0300 EAT m=+439.778111301,-0.19792108,-0.3861808,-0.18692584,-56.083317,16.059187,-0.56524223
2022-12-19 14:55:39.273265 +0300 EAT m=+439.877847701,-0.0973125,-0.30300784,-0.02311688,-34.833218,29.8341,0.52568203
