"drag-rfile"
"Iteration" "drag"
("Iteration" "drag")
1 9.599862520834233
2 13.23375813867007
3 14.24612807407664
4 14.38086217591244
5 14.12108778782737
6 13.79032797379593
7 13.519849072307
8 13.31526220601902
9 13.17500290710313
10 13.09204255258147
11 13.08360934380999
12 13.15162526490532
13 13.27224805250211
14 13.41555752780571
15 13.55667965766561
16 13.68343040506216
17 13.7927753138146
18 13.8797164386435
19 13.94267290662665
20 13.98397547028478
21 14.0077823692225
22 14.01878111494828
23 14.02190460949396
24 14.02137449588144
25 14.01953363681896
26 14.01768383916741
27 14.0166782375423
28 14.01682559283698
29 14.01785070023934
30 14.01928085140379
31 14.02074124453456
32 14.02199437433403
33 14.02293546597535
34 14.02353061008602
35 14.02386086185166
36 14.02397933351624
37 14.02395415470741
38 14.02383978792055
39 14.02368013941305
40 14.0235049308539
41 14.02333269928258
42 14.02317342553297
43 14.02303126345709
44 14.02289539119704
45 14.02277862993775
46 14.02268002093824
47 14.02259846836965
48 14.02252996555806
49 14.02247147221435
50 14.02242069188446
51 14.02237602165557
52 14.02233635098151
53 14.0223008953179
54 14.02226907405897
55 14.02224042305906
56 14.02221454766477
57 14.02219109782129
58 14.02216975902026
59 14.02215024970408
60 14.02213232261696
61 14.02211787170372
62 14.02211254471087
63 14.02211154370917
64 14.02211291021083
65 14.02211173687943
66 14.02210667582665
67 14.02209885106049
68 14.02208991738073
69 14.02208131569166
70 14.02207390304943
71 14.02206803811635
72 14.02206371224344
73 14.02206070607246
74 14.02205871923495
75 14.02205745737542
76 14.02205667768931
77 14.0220562019455
78 14.02205591083627
79 14.02205573019495
80 14.02205561655111
